"Forest","Grassland","Wetland"
7.85816325456957,7.90599229675788,8.50055634352706
6.8302293304124,7.19694544892506,7.76024490523443
7.27013082836409,7.11184978923347,7.58014459732678
7.08691054759292,7.20964689766555,6.930545602934
7.11517413638679,7.36188628476768,7.12146100569206
7.30960856128133,7.80547666505815,7.43138121284848
7.64615839095064,7.03347245084372,7.34328355861446
8.15870278853788,7.40653049270726,7.70686449434457
7.30559457033584,7.61973375291049,8.17793468065115
7.11715796751633,7.75017134236055,8.07796019435311
7.42112264828244,8.18811589195961,6.86796588164603
7.09235944148611,7.94857323654163,7.28090560407605
7.18657746208327,7.86109498379532,7.91627651515941
7.71737596941559,7.10861286769995,7.69590143803455
7.7231402723695,7.32103693263431,7.34478928881104
